iter	Logloss
0	0.6910865307
1	0.6895698706
2	0.6878480911
3	0.6860060692
4	0.6845812003
5	0.6831626097
6	0.6814236641
7	0.6800479889
8	0.678637743
9	0.6772089799
10	0.6750690937
11	0.6731141408
12	0.6715925535
13	0.6700719198
14	0.668305556
15	0.6661960284
16	0.6649275621
17	0.663005352
18	0.6615120173
19	0.6598902543
20	0.6581467787
21	0.6564085484
22	0.654341499
23	0.6527019342
24	0.6506478389
25	0.6494177183
26	0.6481901805
27	0.6466093461
28	0.6449689865
29	0.6436282396
30	0.642042915
31	0.6407099565
32	0.6391484737
33	0.6372672319
34	0.6355760892
35	0.6341574192
36	0.6325534582
37	0.630568703
38	0.6291937431
39	0.6277929544
40	0.6261468331
41	0.6247851054
42	0.6232095559
43	0.6213828325
44	0.6197625399
45	0.6182633241
46	0.6168677012
47	0.6154293219
48	0.6137634118
49	0.6127184232
50	0.6109714111
51	0.6097148259
52	0.6078126033
53	0.6061686277
54	0.6045648654
55	0.6026817958
56	0.6012208462
57	0.599781553
58	0.5987682343
59	0.5975780487
60	0.5963784059
61	0.5951611996
62	0.5941571395
63	0.5929012299
64	0.5916010141
65	0.5902797778
66	0.5886047681
67	0.5871852239
68	0.585366408
69	0.5835547845
70	0.582130909
71	0.5808861256
72	0.5790901979
73	0.5776987871
74	0.5762124856
75	0.5749570131
76	0.573338151
77	0.5719776154
78	0.5702144305
79	0.5688495239
80	0.567506671
81	0.5663684209
82	0.5648876826
83	0.5638602575
84	0.5626375675
85	0.5611699422
86	0.5598350366
87	0.5589122772
88	0.5571976105
89	0.5561365287
90	0.5549333096
91	0.5533427
92	0.5520424445
93	0.5506915251
94	0.5496151845
95	0.5479335785
96	0.5465272268
97	0.5455463727
98	0.544652621
99	0.5435698032
100	0.5424882174
101	0.5412182013
102	0.5399561326
103	0.5383103291
104	0.5372430086
105	0.5359871785
106	0.534839352
107	0.5338084698
108	0.5325526794
109	0.5314470927
110	0.5305543343
111	0.5290873845
112	0.52774628
113	0.5265235504
114	0.5254300435
115	0.524207751
116	0.5229832331
117	0.521775047
118	0.5205655893
119	0.5193494956
120	0.5177813371
121	0.5165720781
122	0.5152668158
123	0.5137108564
124	0.51242733
125	0.5113460223
126	0.5100692113
127	0.5088940859
128	0.5079249541
129	0.5070343812
130	0.5058665276
131	0.5044484138
132	0.5029321114
133	0.5016584396
134	0.5003867149
135	0.4989856879
136	0.4979402622
137	0.4968964259
138	0.495614926
139	0.4947563012
140	0.4938023885
141	0.4925689697
142	0.4917951425
143	0.4903269609
144	0.4895677567
145	0.4886973699
146	0.4873709679
147	0.4863817294
148	0.4851843119
149	0.4839909077
150	0.4830642939
151	0.481628418
152	0.4802942276
153	0.4789632559
154	0.477787892
155	0.4766081174
156	0.475719293
157	0.4747349421
158	0.4733268817
159	0.4719252189
160	0.4706575871
161	0.4698770444
162	0.4687299331
163	0.4679117997
164	0.4670219421
165	0.4660836856
166	0.4651140372
167	0.4641621113
168	0.4630362988
169	0.461669604
170	0.4603083928
171	0.459287564
172	0.4584619204
173	0.4571135839
174	0.4562049309
175	0.4548637072
176	0.4537394047
177	0.4529045026
178	0.4516940117
179	0.4506923358
180	0.4494929314
181	0.4484939575
182	0.4475866159
183	0.4463915428
184	0.4455063343
185	0.444585681
186	0.4437568188
187	0.4427787463
188	0.4418004354
189	0.4407413006
190	0.4397669633
191	0.4387969971
192	0.4378281434
193	0.4367667834
194	0.4360179106
195	0.43528982
196	0.434336861
197	0.4334614674
198	0.4327589671
199	0.4318054517
200	0.4307772319
201	0.4295233488
202	0.4286069075
203	0.427445968
204	0.4265060822
205	0.4254931609
206	0.42456007
207	0.4234749873
208	0.4223656257
209	0.4213496447
210	0.4203311602
211	0.4194951057
212	0.4184935888
213	0.4174932639
214	0.416589578
215	0.4158444405
216	0.4148430824
217	0.4139156342
218	0.4127263228
219	0.4119800727
220	0.4112307628
221	0.4104379813
222	0.4094738166
223	0.4086718162
224	0.4078128338
225	0.4071517785
226	0.406064113
227	0.4051062266
228	0.4045756658
229	0.4034222762
230	0.4026540915
231	0.4017634392
232	0.4008938074
233	0.3999215762
234	0.3990339835
235	0.398061355
236	0.3971365293
237	0.3964219093
238	0.3952964147
239	0.3946655989
240	0.3937397798
241	0.3928995132
242	0.39189291
243	0.3910761277
244	0.3903762897
245	0.3895677725
246	0.3888177872
247	0.3880852858
248	0.3871514797
249	0.3862472375
250	0.3855048021
251	0.3847610156
252	0.3839485248
253	0.3831940492
254	0.3821129004
255	0.3814351956
256	0.3803613583
257	0.3796885808
258	0.3788977067
259	0.3781338135
260	0.3773195346
261	0.3763639927
262	0.3756463925
263	0.3750590483
264	0.3742849032
265	0.3736293316
266	0.3726566633
267	0.3716137409
268	0.3709592024
269	0.3702538411
270	0.36921978
271	0.3684510787
272	0.3674227794
273	0.3664987087
274	0.3658649524
275	0.3652257125
276	0.3642083009
277	0.3635047277
278	0.3625864983
279	0.3619716962
280	0.3614097436
281	0.3605057001
282	0.3595763048
283	0.3589696487
284	0.3580731551
285	0.3574037552
286	0.3567559719
287	0.356173714
288	0.3555229505
289	0.3547924757
290	0.3541515271
291	0.3535048962
292	0.3526271979
293	0.351950407
294	0.3510778745
295	0.3504556815
296	0.3496126731
297	0.3488121827
298	0.3481497765
299	0.3471934001
300	0.3465956847
301	0.3460199436
302	0.3454311689
303	0.3444846471
304	0.3437811534
305	0.3430770238
306	0.3424613476
307	0.3415255547
308	0.3408302466
309	0.3399876356
310	0.3392263651
311	0.3385858536
312	0.3379550775
313	0.3372989098
314	0.3365185261
315	0.3360475302
316	0.3354977369
317	0.3348777294
318	0.3341954549
319	0.3334626357
320	0.3329154253
321	0.3323903282
322	0.3314906359
323	0.3307650884
324	0.3301013907
325	0.329209884
326	0.3285987973
327	0.3277131319
328	0.326830109
329	0.3261947632
330	0.3254758517
331	0.3246853948
332	0.3239022891
333	0.3234270811
334	0.3229531447
335	0.3223862251
336	0.3215229909
337	0.3209892114
338	0.320130984
339	0.3196072976
340	0.3187544545
341	0.318150123
342	0.3175220887
343	0.3168690999
344	0.3162407676
345	0.3154002428
346	0.3147816459
347	0.3143160144
348	0.3138618469
349	0.3133202791
350	0.312764585
351	0.3120963573
352	0.3112711112
353	0.3106626272
354	0.3102303743
355	0.3098273476
356	0.3093410532
357	0.3087347349
358	0.3082735737
359	0.3074603478
360	0.3068078359
361	0.3061957955
362	0.3056038618
363	0.3050178289
364	0.3045293887
365	0.3039077719
366	0.3031104803
367	0.3023134669
368	0.301660498
369	0.3011287053
370	0.3004831473
371	0.2999000947
372	0.299376905
373	0.2988680998
374	0.2982921998
375	0.2977172136
376	0.2970721324
377	0.2964489261
378	0.2959448497
379	0.295529445
380	0.295019865
381	0.2942508459
382	0.2938723962
383	0.2932512959
384	0.2926206191
385	0.2921132048
386	0.2917051315
387	0.2911449472
388	0.2903926373
389	0.2899819016
390	0.2895290852
391	0.2891240517
392	0.2883761923
393	0.287750721
394	0.287293752
395	0.2868713935
396	0.2862584988
397	0.2857135137
398	0.2851047119
399	0.2845702171
400	0.2841513753
401	0.2837172151
402	0.2830658356
403	0.282534341
404	0.2818085353
405	0.281263868
406	0.2806768616
407	0.2801248233
408	0.2796793779
409	0.2792590459
410	0.2787865202
411	0.2784053286
412	0.2779719432
413	0.2772610982
414	0.276741147
415	0.2762256265
416	0.2755213777
417	0.2749869426
418	0.2745122115
419	0.2738158703
420	0.2733991941
421	0.272873958
422	0.2724888325
423	0.2721560399
424	0.2716484865
425	0.2711461186
426	0.2706515789
427	0.2701963981
428	0.2695151567
429	0.2689609528
430	0.2684482733
431	0.2679556608
432	0.2674574852
433	0.2669048508
434	0.2663545012
435	0.2657543421
436	0.26532046
437	0.2650386492
438	0.2645761967
439	0.2641437451
440	0.2637424469
441	0.2631458839
442	0.2626950741
443	0.2623226643
444	0.2618885835
445	0.2612330516
